          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
 iLDz2ad6v3NuPUi6Xs4CQhiZPpAAvR9AVB | Cozacrypto.VRSC@                                                       |           3 | 2021-08-18 18:16:06+01 | 2024-03-16 10:03:30+00
 iLej1Rm9WUAAECiNEyCSE19e7jNMLKM55m | unknown.VRSC@                                                          |           5 | 2021-07-20 12:40:59+01 | 2025-07-14 14:31:30+01
 iLfBsKNTshMET5KEwiAUKEKt8y8V47yZXs | cryptokarma.VRSC@                                                      |           2 | 2023-12-23 03:46:52+00 | 2024-08-13 19:40:25+01
 iLhfe7GVpQefPVTUG2H5uepnWvwfGxuSMt | unknown.VRSC@                                                          |          91 | 2024-12-26 13:44:18+00 | 2025-03-12 21:28:47+00
 iLHnZJgmSPa1DbdmLAVjDKtdq8fUcNUAbG | Henk.VRSC@                                                             |         212 | 2023-12-12 11:51:48+00 | 2025-10-24 20:49:01+01
 iLKCzaawkVyswxFJZrBxSGk93Md4gbYUkw | iou.VRSC@                                                              |          16 | 2024-11-28 05:24:49+00 | 2025-10-14 21:43:56+01
 iLkz9cbHEkcFgEFWVvK8TZFW6b8gC7zEeu | RF.VRSC@                                                               |           1 | 2022-01-27 08:02:24+00 | 2022-01-27 08:02:24+00
 iLMthhFsUsCgNyAVramjorjgcFFAvX6bca | Satoshi.VRSC@                                                          |           9 | 2023-04-23 08:47:30+01 | 2023-05-15 18:48:25+01
 iLoHAVc8hv2ntJodJTBXns9tQv8jFKFYpb | CHIPSWitness11.VRSC@                                                   |           1 | 2025-08-29 12:42:53+01 | 2025-08-29 12:42:53+01
 iLPcnsF8oexcmXEAwaGiZcZspPam6RHa71 | tuana.VRSC@                                                            |        1178 | 2024-10-06 22:43:46+01 | 2025-10-11 19:52:42+01
 iLpD9YaMXmQ1nEAMHVkEX9dKUsLUqRbsx2 | unknown.VRSC@                                                          |           3 | 2021-05-01 03:54:22+01 | 2021-07-11 22:47:08+01
 iLPjrFLjrk8tTZk16YXAn6E9s7FTpdmsxY | unknown.VRSC@                                                          |           3 | 2024-01-16 10:46:37+00 | 2025-04-09 16:40:54+01
